id,age,gender,education_level,income_bracket,urbanicity,country,trust_vaccine,concern_side_effects
1,39,Non-binary,Master's,<30k,Urban,Nigeria,4,5
2,22,Male,Bachelor's,30k–60k,Rural,Nigeria,5,4
3,23,Non-binary,High school,60k–100k,Suburban,Nigeria,2,5
4,23,Male,Bachelor's,<30k,Urban,USA,2,1
5,46,Female,High school,<30k,Urban,Brazil,2,4
6,19,Male,High school,<30k,Suburban,Brazil,5,2
7,62,Female,Bachelor's,100k+,Suburban,Other,2,5
8,28,Male,Master's,<30k,Suburban,India,4,2
9,43,Female,Bachelor's,60k–100k,Urban,UK,3,1
10,41,Female,High school,30k–60k,Urban,India,2,1
11,22,Male,High school,100k+,Urban,India,3,4
12,79,Male,Master's,100k+,Urban,Nigeria,2,2
13,40,Male,Bachelor's,30k–60k,Urban,USA,3,2
14,27,Female,Master's,30k–60k,Rural,Nigeria,3,2
15,22,Male,Bachelor's,<30k,Rural,Nigeria,3,4
16,58,Female,High school,30k–60k,Urban,USA,2,2
17,19,Female,Master's,60k–100k,Urban,Brazil,3,5
18,19,Female,Bachelor's,100k+,Urban,India,5,4
19,46,Male,High school,100k+,Suburban,Nigeria,2,1
20,34,Female,Bachelor's,60k–100k,Urban,USA,3,2
21,21,Male,High school,30k–60k,Suburban,Other,3,4
22,49,Non-binary,Bachelor's,100k+,Rural,USA,2,1
23,30,Male,Bachelor's,<30k,Suburban,Brazil,2,2
24,40,Male,High school,30k–60k,Suburban,UK,4,4
25,18,Male,High school,30k–60k,Suburban,Other,5,4
26,63,Female,Bachelor's,30k–60k,Suburban,Brazil,2,4
27,52,Female,High school,<30k,Rural,Other,4,4
28,34,Male,Master's,30k–60k,Suburban,India,4,4
29,63,Female,Bachelor's,60k–100k,Urban,UK,3,4
30,25,Female,Master's,100k+,Rural,USA,3,4
31,23,Male,Bachelor's,<30k,Urban,India,2,4
32,29,Female,Bachelor's,60k–100k,Urban,Other,4,5
33,23,Male,Master's,30k–60k,Rural,Brazil,4,4
34,41,Non-binary,Bachelor's,<30k,Rural,Brazil,1,3
