id,age,gender,education_level,income_bracket,urbanicity,country,trust_vaccine,concern_side_effects,ad_group,recall_ad,post_trust_vaccine,post_concern_side_effects,vaccine_uptake,vaccine_uptake_status
1,39,Non-binary,Master's,<30k,Urban,Nigeria,4,5,Control,No,3,2,No,0
2,22,Male,Bachelor's,30k–60k,Rural,Nigeria,5,4,Control,No,1,3,No,0
3,23,Non-binary,High school,60k–100k,Suburban,Nigeria,2,5,Reason,No,2,4,Yes,1
4,23,Male,Bachelor's,<30k,Urban,USA,2,1,Emotion,No,3,2,No,0
5,46,Female,High school,<30k,Urban,Brazil,2,4,Emotion,No,2,4,Yes,1
6,19,Male,High school,<30k,Suburban,Brazil,5,2,Reason,Yes,1,5,Yes,1
7,62,Female,Bachelor's,100k+,Suburban,Other,2,5,Control,No,1,4,No,0
8,28,Male,Master's,<30k,Suburban,India,4,2,Reason,Yes,2,4,No,0
9,43,Female,Bachelor's,60k–100k,Urban,UK,3,1,Reason,Yes,1,2,Yes,1
10,41,Female,High school,30k–60k,Urban,India,2,1,Reason,Yes,4,4,Yes,1
11,22,Male,High school,100k+,Urban,India,3,4,Emotion,Yes,1,2,Yes,1
12,79,Male,Master's,100k+,Urban,Nigeria,2,2,Control,No,1,1,No,0
13,40,Male,Bachelor's,30k–60k,Urban,USA,3,2,Emotion,No,5,1,Yes,1
14,27,Female,Master's,30k–60k,Rural,Nigeria,3,2,Control,No,4,2,Yes,1
15,22,Male,Bachelor's,<30k,Rural,Nigeria,3,4,Reason,No,4,2,No,0
17,19,Female,Master's,60k–100k,Urban,Brazil,3,5,Control,No,2,1,No,0
18,19,Female,Bachelor's,100k+,Urban,India,5,4,Reason,No,2,1,Yes,1
19,46,Male,High school,100k+,Suburban,Nigeria,2,1,Control,No,4,5,Yes,1
20,34,Female,Bachelor's,60k–100k,Urban,USA,3,2,Emotion,No,4,5,Yes,1
21,21,Male,High school,30k–60k,Suburban,Other,3,4,Emotion,Yes,4,4,Yes,1
22,49,Non-binary,Bachelor's,100k+,Rural,USA,2,1,Reason,No,1,3,No,0
23,30,Male,Bachelor's,<30k,Suburban,Brazil,2,2,Reason,Yes,4,3,No,0
24,40,Male,High school,30k–60k,Suburban,UK,4,4,Reason,No,4,4,Yes,1
25,18,Male,High school,30k–60k,Suburban,Other,5,4,Reason,No,4,2,No,0
26,63,Female,Bachelor's,30k–60k,Suburban,Brazil,2,4,Reason,Yes,2,2,No,0
27,52,Female,High school,<30k,Rural,Other,4,4,Emotion,Yes,5,1,Yes,1
28,34,Male,Master's,30k–60k,Suburban,India,4,4,Reason,Yes,4,5,No,0
29,63,Female,Bachelor's,60k–100k,Urban,UK,3,4,Emotion,Yes,3,2,Yes,1
31,23,Male,Bachelor's,<30k,Urban,India,2,4,Reason,Yes,1,4,Yes,1
32,29,Female,Bachelor's,60k–100k,Urban,Other,4,5,Emotion,Yes,4,1,Yes,1
33,23,Male,Master's,30k–60k,Rural,Brazil,4,4,Emotion,Yes,4,2,No,0
34,41,Non-binary,Bachelor's,<30k,Rural,Brazil,1,3,Emotion,No,1,4,Yes,1
35,40,Female,High school,60k–100k,Rural,Brazil,4,4,Control,No,1,1,Yes,1
36,31,Male,Master's,<30k,Suburban,UK,1,3,Emotion,No,5,4,No,0
37,31,Male,Master's,30k–60k,Urban,UK,4,3,Reason,Yes,1,4,No,0
39,75,Male,Bachelor's,30k–60k,Urban,India,1,2,Emotion,No,5,5,Yes,1
40,63,Non-binary,Master's,60k–100k,Suburban,India,2,5,Emotion,Yes,5,2,Yes,1
41,19,Male,Bachelor's,30k–60k,Suburban,UK,3,2,Control,No,5,4,No,0
43,48,Male,Bachelor's,30k–60k,Urban,India,5,3,Emotion,No,1,3,Yes,1
44,51,Male,Master's,60k–100k,Rural,Other,4,4,Emotion,Yes,5,3,Yes,1
45,74,Male,Master's,<30k,Suburban,India,5,1,Reason,Yes,2,5,Yes,1
46,47,Male,Bachelor's,<30k,Rural,USA,4,5,Control,No,2,4,No,0
47,53,Male,Master's,30k–60k,Urban,UK,2,4,Emotion,No,1,4,Yes,1
